City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,dihok,36.8695,42.994,10.87,60,100,5.0,IQ,1704826765
247,nadi,-17.8,177.4167,25.0,94,40,0.0,FJ,1704826765
248,igarka,67.4667,86.5833,-15.6,96,100,4.41,RU,1704826765
249,polyarnyy,69.1989,33.4478,-11.36,91,100,3.15,RU,1704826766
250,minas de marcona,-15.2119,-75.1103,23.17,61,100,7.47,PE,1704826766
251,atafu village,-8.5421,-172.5159,29.08,73,13,4.53,TK,1704826766
252,springbok,-29.6643,17.8865,18.68,52,100,2.73,ZA,1704826766
253,la paz,-16.5,-68.15,19.99,19,40,4.63,BO,1704826767
254,gebeit,21.0667,36.3167,20.65,74,6,1.83,SD,1704826767
255,kish,26.5578,54.0194,20.15,52,0,3.09,IR,1704826767
256,san luis de la loma,17.2706,-100.8939,28.72,61,99,3.69,MX,1704826768
257,sisimiut,66.9395,-53.6735,-7.91,79,19,5.58,GL,1704826768
258,asau,46.4333,26.4,-12.49,79,3,2.05,RO,1704826768
259,mount gambier,-37.8333,140.7667,14.18,89,69,2.21,AU,1704826769
260,plastun,44.7561,136.2939,-16.12,65,0,2.66,RU,1704826769
261,san patricio,28.017,-97.5169,17.73,21,0,8.72,US,1704826769
262,pont-rouge,46.7566,-71.6978,-6.99,75,100,4.22,CA,1704826769
263,lorengau,-2.0226,147.2712,27.4,78,100,0.28,PG,1704826770
264,kaspiyskiy,45.3929,47.3707,-5.67,72,100,9.36,RU,1704826770
265,sandnessjoen,66.0217,12.6316,5.29,100,100,2.57,NO,1704826770
266,paraguacu paulista,-22.4128,-50.5758,37.06,24,95,2.74,BR,1704826771
267,lerwick,60.1545,-1.1494,5.0,77,100,3.42,GB,1704826771
268,mariehamn,60.0973,19.9348,3.92,75,40,5.14,AX,1704826771
269,mar del plata,-38.0023,-57.5575,28.62,51,0,7.72,AR,1704826682
270,realico,-35.0366,-64.2447,31.03,43,11,3.61,AR,1704826772
271,mosfellsbaer,64.1667,-21.7,8.73,66,100,10.8,IS,1704826772
272,mizdah,31.4451,12.9801,8.21,53,84,2.81,LY,1704826772
273,arica,-18.475,-70.3042,28.75,60,0,7.2,CL,1704826772
274,enewetak,11.3474,162.3373,27.06,81,6,9.46,MH,1704826773
275,formosa do rio preto,-11.0483,-45.1931,30.94,51,100,2.14,BR,1704826773
276,lethem,3.3803,-59.7968,31.03,62,75,6.17,GY,1704826773
277,sakata,38.9167,139.855,3.0,94,100,5.04,JP,1704826774
278,tabuk,17.4189,121.4443,21.02,97,13,1.35,PH,1704826774
279,kruisfontein,-34.0033,24.7314,21.05,94,100,2.44,ZA,1704826774
280,cadale,2.7603,46.3222,25.88,73,7,9.04,SO,1704826774
281,la passe,45.5549,-0.8967,1.13,65,100,3.12,FR,1704826775
282,coquimbo,-29.9533,-71.3436,20.85,64,0,7.2,CL,1704826396
283,iskateley,67.6803,53.1512,-21.1,100,100,2.24,RU,1704826626
284,kandalaksha,67.162,32.4123,-16.52,99,99,1.43,RU,1704826775
285,talnakh,69.4865,88.3972,-18.22,85,100,2.22,RU,1704826776
286,coxim,-18.5067,-54.76,36.68,33,100,3.78,BR,1704826776
287,antsiranana,-12.2787,49.2917,25.39,89,100,2.57,MG,1704826776
288,arba minch,6.0333,37.55,21.82,55,5,1.82,ET,1704826775
289,acapulco de juarez,16.8634,-99.8901,28.42,59,28,3.29,MX,1704826600
290,manado,1.487,124.8455,24.43,94,40,1.03,ID,1704826777
291,el obeid,13.1842,30.2167,24.33,25,94,4.56,SD,1704826731
292,sao joao da barra,-21.6403,-41.0511,36.05,85,100,4.39,BR,1704826777
293,zhangye,38.9342,100.4517,-1.91,20,0,1.71,CN,1704826778
294,khowy,38.5503,44.9521,5.64,66,100,2.17,IR,1704826778
295,camana,-16.6228,-72.7111,24.16,76,97,4.15,PE,1704826778
296,masterton,-40.9597,175.6575,14.94,83,100,1.32,NZ,1704826778
297,greenville,35.6127,-77.3663,17.09,94,100,7.2,US,1704826536
298,agria,47.9026,20.3733,-3.34,41,0,2.08,HU,1704826779
299,raymondville,26.4815,-97.7831,18.48,20,99,8.67,US,1704826779
300,mayya,61.7333,130.2811,-48.16,100,100,1.08,RU,1704826779
301,tahoua,14.8888,5.2692,28.99,11,0,3.6,NE,1704826780
302,nha trang,12.25,109.1833,25.0,92,100,2.27,VN,1704826598
303,puerto baquerizo moreno,-0.9,-89.6,27.55,83,75,5.14,EC,1704826780
304,meulaboh,4.1363,96.1285,24.32,90,85,1.16,ID,1704826780
305,laurentides,46.4334,-74.9826,-6.27,82,100,4.0,CA,1704826780
306,eydhafushi,5.1033,73.0708,27.62,82,100,8.08,MV,1704826781
307,illizi,26.4833,8.4667,14.89,17,1,3.64,DZ,1704826781
308,lata,40.1629,-8.3327,11.56,96,99,1.13,PT,1704826759
309,mpulungu,-8.7623,31.1141,23.13,82,100,0.95,ZM,1704826781
310,harper,4.375,-7.7169,26.9,78,100,2.55,LR,1704826782
311,terrace,54.5163,-128.6035,-0.99,74,75,8.75,CA,1704826782
312,miquelon,47.0975,-56.3814,-1.0,62,65,15.02,PM,1704826782
313,port maria,18.3685,-76.8895,31.14,82,32,6.61,JM,1704826782
314,belomorsk,64.5232,34.7668,-13.87,97,100,1.67,RU,1704826782
315,pont rouge,48.8833,-72.0825,-14.84,67,100,1.8,CA,1704826782
316,santa ana,33.7456,-117.8678,17.57,45,0,2.06,US,1704826327
317,lower hutt,-41.2167,174.9167,16.02,92,20,2.06,NZ,1704826783
318,palmer,42.1584,-72.3287,2.12,77,100,2.57,US,1704826770
319,bubaque,11.2833,-15.8333,26.67,66,100,6.71,GW,1704826783
320,guerrero negro,27.9769,-114.0611,14.81,28,72,1.64,MX,1704826236
321,hillsboro,45.5229,-122.9898,6.35,86,100,2.24,US,1704826718
322,gisborne,-38.6533,178.0042,18.24,81,100,1.96,NZ,1704826783
